external_did,rid,sid,true_chemical_name,true_cas
16,DTXRID008032217,DTXSID0029501,"Terpenes and Terpenoids, mixed sour and sweet Orange-oil",68917-57-7
17,DTXRID708032218,DTXSID1020778,D-Limonene,5989-27-5
18,DTXRID408032219,DTXSID7027209,"Octadecanoic acid, zinc salt",557-05-1
19,DTXRID708032220,DTXSID0026838,Isopropyl tetradecanoate,110-27-0
20,DTXRID408032221,DTXSID8029317,"1,1,5-Trimethyl-6-heptenol",18479-58-8
21,DTXRID108032222,DTXSID4029353,Acetylcedrene,32388-55-9
22,DTXRID808032223,DTXSID0044814,"2-Ethyl-4-(2',2',3-trimethylcyclopent-3'-enyl)but-2-enol",28219-61-6
31,DTXRID508032224,DTXSID7031290,Isocyclemone E,54464-57-2
32,DTXRID208032225,DTXSID4026684,2-(Phenylmethylene)octanal,101-86-0
33,DTXRID908032226,DTXSID9027441,Octabenzone,1843-05-6
34,DTXRID608032227,DTXSID9034781,Oil of eucalyptus,8000-48-4
35,DTXRID308032228,DTXSID2044769,Cyclamen aldehyde,103-95-7
